"brewery_id"	"brewery_name"	"city"	"state"	"lon"	"lat"	"address"
383	"Starr Hill Brewery"	"Crozet"	" VA"	-78.686689	38.06921	"5391 three notched rd, crozet, va 22932, usa"
384	"Westbrook Brewing Company"	"Mt. Pleasant"	" SC"	-79.8767999	32.8466697	"510 ridge rd, mt pleasant, sc 29464, usa"
385	"Shipyard Brewing Company"	"Portland"	" ME"	-70.24918	43.661595	"86 newbury st, portland, me 04101, usa"
386	"Revolution Brewing"	"Paonia"	" CO"	-107.597507	38.869515	"tasting room at 325 grand ave, paonia, co 81428, united states"
387	"Natian Brewery"	"Portland"	" OR"	-122.652349	45.522785	"1306 e burnside st, portland, or 97214, usa"
388	"Alltech's Lexington Brewing Company"	"Lexington"	" KY"	-84.5093844	38.0494913	"401 cross st, lexington, ky 40508, usa"
389	"Oskar Blues Brewery (North Carol..."	"Brevard"	" NC"	-82.7067656	35.2535812	"342 mountain industrial dr, brevard, nc 28712, usa"
390	"Orlison Brewing Company"	"Airway Heights"	" WA"	-117.4274312	47.6564322	"1017 w 1st ave, spokane, wa 99201, usa"
391	"Breckenridge Brewery"	"Denver"	" CO"	-105.0233408	39.5937209	"2920 brewery ln, littleton, co 80120, usa"
392	"Santa Fe Brewing Company"	"Santa Fe"	" NM"	-106.0515734	35.596565	"35 fire pl, santa fe, nm 87508, usa"
393	"Miami Brewing Company"	"Miami"	" FL"	-80.313882	25.820037	"5100 nw 72nd ave a-1, miami, fl 33166, usa"
394	"Schilling & Company"	"Seattle"	" WA"	-74.0139894	40.7085747	"109 washington st, new york, ny 10006, usa"
395	"Hops & Grain Brewery"	"Austin"	" TX"	-95.9874462	36.7519372	"900 sw frank phillips blvd, bartlesville, ok 74003, usa"
396	"White Flame Brewing Company"	"Hudsonville"	" MI"	-85.8706854	42.8642869	"5234 36th ave, hudsonville, mi 49426, usa"
397	"Ruhstaller Beer Company"	"Sacramento"	" CA"	-121.819619	38.453491	"800 business park dr g, dixon, ca 95620, usa"
398	"Saugatuck Brewing Company"	"Douglas"	" MI"	-86.2128604	42.6325668	"2948 blue star hwy, douglas, mi 49406, usa"
399	"Moab Brewery"	"Moab"	" UT"	-109.5496961	38.5625852	"686 s main st, moab, ut 84532, usa"
