"Species","Capture History","Length","Weight","Wr","Mark","Tag","Sex","Mort?"
"SRC","M1","8.5","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","15.9","","","","","","N"
"SRC","M1","6.2","","","","","","N"
"SRC","M1","5.7","","","","","","N"
"SRC","M1","7.2","","","","","","N"
"SRC","M1","5.8","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","9.3","","","","","","N"
"SRC","M1","7.8","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","6.8","","","","","","N"
"SRC","M1","6.9","","","","","","N"
"SRC","M1","4.7","","","","","","N"
"SRC","M1","6.4","","","","","","N"
"SRC","M1","3.7","","","","","","N"
"SRC","M1","8.3","","","","","","N"
"SRC","M1","7.7","","","","","","N"
"SRC","M1","6.5","","","","","","N"
"SRC","M1","4.7","","","","","","N"
"SRC","M1","3.4","","","","","","N"
"SRC","M1","5.2","","","","","","N"
"SRC","M1","6.1","","","","","","N"
"SRC","M1","4.7","","","","","","N"
"SRC","M1","5","","","","","","N"
"SRC","M1","3","","","","","","N"
"SRC","M1","3.2","","","","","","N"
"SRC","M1","15.8","","","","","","N"
"SRC","M1","14.2","","","","","","N"
"SRC","M1","13","","","","","","N"
"SRC","M1","17.7","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","17.7","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","15.2","","","","","","N"
"SRC","M1","10","","","","","","N"
"SRC","M1","13.2","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","17.6","","","","","","N"
"SRC","M1","12.3","","","","","","N"
"SRC","M1","5.4","","","","","","N"
"SRC","M1","15.4","","","","","","N"
"SRC","M1","14.7","","","","","","N"
"SRC","M1","14.3","","","","","","N"
"SRC","M1","15.7","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","16.5","","","","","","N"
"SRC","M1","14.6","","","","","","N"
"SRC","M1","7.6","","","","","","N"
"SRC","M1","10.4","","","","","","N"
"SRC","M1","13.8","","","","","","N"
"SRC","M1","9.7","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","14.5","","","","","","N"
"SRC","M1","11.3","","","","","","N"
