"Species","Capture History","Length","Weight","Wr","Mark","Tag","Sex","Mort?"
"SRC","M1","14.6","1.39","106","","","","N"
"SRC","M1","7.6","0.14","81","","","","N"
"SRC","M1","17.2","2.12","98","","","","N"
"SRC","M1","7.3","0.12","79","","","","N"
"SRC","M1","7","0.11","82","","","","N"
"SRC","M1","5","0.04","","","","","N"
"SRC","M1","15","1.42","100","","","","N"
"SRC","M1","17.3","1.57","71","","","","N"
"SRC","M1","16.3","1.55","84","","","","N"
"SRC","M1","8","0.19","94","","","","N"
"SRC","M1","14.4","1.04","83","","","","N"
"SRC","M1","8.2","0.19","87","","","","N"
"SRC","M1","14.6","1.11","85","","","","N"
"SRC","M1","7.3","0.11","72","","","","N"
"SRC","M1","7.5","0.13","78","","","","N"
"SRC","M1","6.4","0.09","89","","","","N"
"SRC","M1","7.4","0.13","82","","","","N"
"SRC","M1","6.8","0.13","106","","","","N"
"SRC","M1","9.3","0.24","74","","","","N"
"SRC","M1","7.5","0.15","90","","","","N"
"SRC","M1","11.7","0.52","79","","","","N"
"SRC","M1","7.4","0.14","88","","","","N"
"SRC","M1","6.8","0.11","90","","","","N"
"SRC","M1","7.1","0.12","86","","","","N"
"SRC","M1","5.9","0.09","114","","","","N"
"SRC","M1","6.7","0.13","111","","","","N"
"SRC","M1","7.6","0.12","69","","","","N"
"SRC","M1","6.6","0.11","99","","","","N"
"SRC","M1","9.5","0.31","90","","","","N"
"SRC","M1","9.3","0.29","90","","","","N"
"SRC","M1","7.6","0.15","87","","","","N"
"SRC","M1","9.6","0.31","87","","","","N"
"SRC","M1","7.2","0.15","103","","","","N"
"SRC","M1","7.8","0.15","80","","","","N"
"SRC","","4.9","","","","","","N"
"SRC","M1","5.9","0.07","89","","","","N"
"SRC","M1","11.2","0.52","90","","","","N"
"SRC","M1","12.9","0.85","95","","","","N"
"SRC","M1","5.3","0.04","71","","","","N"
"SRC","M1","6","0.06","72","","","","N"
"SRC","M1","6.3","0.08","83","","","","N"
"SRC","M1","9.2","0.26","83","","","","N"
"SRC","M1","7.4","0.12","75","","","","N"
"SRC","M1","6.6","0.11","99","","","","N"
"SRC","M1","6.9","0.11","86","","","","N"
"SRC","M1","6.7","0.11","94","","","","N"
"SRC","M1","7.9","0.18","92","","","","N"
"SRC","M1","8.5","0.22","90","","","","N"
"SRC","M1","6.9","0.12","94","","","","N"
"SRC","M1","8.3","0.21","92","","","","N"
"SRC","M1","6.3","0.13","135","","","","N"
"SRC","M1","6.2","0.08","87","","","","N"
"SRC","M1","6.3","0.09","93","","","","N"
"SRC","","4.7","","","","","","N"
"SRC","M1","7.9","0.18","92","","","","N"
"SRC","M1","11.5","0.52","83","","","","N"
"SRC","M1","5.2","0.05","94","","","","N"
"SRC","M1","6.3","0.07","72","","","","N"
"SRC","M1","7","0.11","82","","","","N"
"SRC","M1","5.6","0.07","104","","","","N"
"SRC","M1","7.4","0.13","82","","","","N"
"SRC","M1","6.6","0.11","99","","","","N"
"SRC","M1","5","0.05","","","","","N"
"SRC","M1","6.1","0.08","91","","","","N"
"SRC","M1","6.9","0.12","94","","","","N"
"SRC","M1","6.1","0.09","103","","","","N"
"SRC","M1","5.3","0.07","124","","","","N"
"SRC","M1","6.2","0.07","76","","","","N"
"SRC","M1","5.9","0.08","101","","","","N"
"SRC","M1","6.6","0.08","72","","","","N"
"SRC","M1","7.3","0.12","79","","","","N"
"SRC","M1","6.8","0.11","90","","","","N"
"SRC","M1","5.8","0.06","80","","","","N"
"SRC","M1","5.3","0.05","88","","","","N"
"SRC","M1","6.7","0.11","94","","","","N"
"SRC","M1","5.2","0.06","113","","","","N"
"SRC","M1","7.6","0.16","93","","","","N"
"SRC","M1","13.6","0.92","88","","","","N"
"SRC","M1","7.3","0.13","85","","","","N"
"SRC","M1","8.8","0.23","84","","","","N"
"SRC","M1","6.5","0.1","94","","","","N"
"SRC","M1","7.4","0.15","94","","","","N"
"SRC","M1","7.4","0.14","88","","","","N"
"SRC","M1","7.2","0.11","75","","","","N"
"SRC","M1","6.8","0.13","106","","","","N"
"SRC","M1","7.1","0.12","86","","","","N"
"SRC","","4.6","","","","","","N"
"SRC","M1","6","0.07","84","","","","N"
"SRC","M1","6.8","0.11","90","","","","N"
"SRC","M1","6.4","0.08","79","","","","N"
"SRC","M1","5.3","0.07","124","","","","N"
"SRC","M1","6.2","0.09","98","","","","N"
"SRC","M1","7.3","0.13","85","","","","N"
"SRC","M1","6.3","0.09","93","","","","N"
"SRC","M1","5.3","0.05","88","","","","N"
"SRC","M1","6.3","0.09","93","","","","N"
"SRC","M1","8.2","0.19","87","","","","N"
"SRC","M1","5.2","0.06","113","","","","N"
"SRC","M1","6.9","0.1","78","","","","N"
"SRC","M1","6.1","0.07","80","","","","N"
"SRC","M1","6.3","0.09","93","","","","N"
"SRC","M1","6.2","0.08","87","","","","N"
"SRC","M1","5.7","0.05","71","","","","N"
"SRC","M1","5.5","0.06","95","","","","N"
"SRC","M1","7","0.1","75","","","","N"
"SRC","M1","5.3","0.05","88","","","","N"
"SRC","M1","5.8","0.07","94","","","","N"
"SRC","M1","5.5","0.05","79","","","","N"
"SRC","M1","5.2","0.06","113","","","","N"
"SRC","M1","6","0.08","96","","","","N"
"SRC","M1","6","0.08","96","","","","N"
"SRC","M1","6.7","0.1","86","","","","N"
"SRC","","3.5","","","","","","N"
"SRC","","4.9","","","","","","N"
"SRC","","4.6","","","","","","N"
"SRC","","3.3","","","","","","N"
"SRC","M1","5.8","0.06","80","","","","N"
"SRC","M1","6.8","0.1","82","","","","N"
"SRC","M1","6.2","0.08","87","","","","N"
"SRC","M1","5.4","0.05","83","","","","N"
"SRC","M1","7.1","0.11","79","","","","N"
"SRC","","4.9","","","","","","N"
"SRC","M1","5.6","0.07","104","","","","N"
"SRC","M1","5.4","0.07","117","","","","N"
"SRC","M1","5.4","0.07","117","","","","N"
"SRC","M1","6.7","0.1","86","","","","N"
"SRC","","6.2","0.07","76","","","","Y"
"SRC","M1","5.5","0.05","79","","","","N"
"SRC","","2.9","","","","","","N"
"SRC","","3.6","","","","","","N"
"SRC","","3.9","","","","","","N"
"SRC","","4.7","","","","","","N"
"SRC","M1","6.5","0.1","94","","","","N"
"SRC","","3.6","","","","","","N"
"SRC","M1","5.6","0.06","89","","","","N"
"SRC","M1","6.7","0.1","86","","","","N"
"SRC","","3.4","","","","","","N"
"SRC","","5.1","0.04","","","","","Y"
"SRC","","3.6","","","","","","N"
"SRC","M1","6.3","0.09","93","","","","N"
"SRC","","3.2","","","","","","N"
"SRC","","3.4","","","","","","N"
"SRC","","3.5","","","","","","N"
"BKT","P1","6","","","","","","N"
"SRC","M1","21.4","5.02","117","","","","N"
"SRC","M1","15.5","1.44","92","","","","N"
"SRC","M1","14","1.14","99","","","","N"
"SRC","M1","14.4","1.15","92","","","","N"
"SRC","M1","16.5","1.85","97","","","","N"
"SRC","M1","17","1.93","92","","","","N"
